Title,Body,Labels,Milestone
"PSFS-001 Repository und Python-Paket initialisieren","Ergebnis: src-Layout, pyproject.toml, Testlauf und Startkommando. Standards: ADR-0007, ADR-0013.","task,foundation","0.1.0-alpha"
"PSFS-002 PyQt6 App-Shell erstellen","Startseite mit Eigenes PDF und Erhaltenes Paket; tastaturbedienbare Navigation.","task,ui","0.1.0-alpha"
"PSFS-003 Konfiguration und lokale Datenpfade","Getrennte Datenordner; Start ohne Administratorrechte.","task,foundation","0.1.0-alpha"
"PSFS-004 Datenschutzkonformes Logging","Redaction für E-Mail, Namen und Pfade; keine Dokumentinhalte.","task,privacy","0.1.0-alpha"
"PSFS-005 Build-Metadaten und About-Dialog","Version, Edition, Build, Commit, Quelle und Copyright.","task,ui","0.1.0-alpha"
"PSFS-006 CI und Release-Prototyp","Lint, Typprüfung, Tests, Architekturcheck und Windows-Build.","task,ci","0.1.0-alpha"
"PSFS-020 Profilschema","Core-, Custom- und Runtime-Felder; Schutz- und Speicherregeln.","task,profiles","0.2.0-alpha"
"PSFS-030 Template JSON Schema","Versioniertes Schema mit Koordinaten, Typen und Quellen.","task,templates","0.3.0-alpha"
"PSFS-040 PDF-Worker-Prozess","Isolierte PDF-Analyse ohne aktive Inhalte.","task,pdf,security","0.4.0-alpha"
"PSFS-044 Farbige Feldvorschau","Grün/Gelb/Rot plus Symbole und Textstatus.","task,pdf,ui","0.4.0-alpha"
"PSFS-050 Feldlexikon","Aliasmodell, Confidence und bestätigtes Lernen.","task,field-dictionary","0.5.0-alpha"
"PSFS-060 Signaturspeicher","Geschützter separater Speicher und Exportwarnung.","task,signatures,privacy","0.6.0-alpha"
"PSFS-070 Visueller Designer","Felder per Maus anlegen und Datenquellen zuordnen.","task,designer","0.7.0-alpha"
"PSFS-080 Dokument- und Mailvorschläge","Titel, Empfänger und Betreff als prüfbare Vorschläge.","task,email","0.8.0-alpha"
"PSFS-090 Sicherheitsvorschau","Zusammenfassung aller Felder, Signaturen, Empfänger und Anhänge.","task,security,ui","0.9.0-beta"
"PSFS-100 Release-Dokumentation","Handbuch, Screenshots, Test- und Releaseberichte.","task,docs","1.0.0"

